Country,ISO3Code,Mortality_Status_Binary,ANC4,SBA,Births_2022
Somalia,SOM,off-track,24.4,31.9,565.041
Sao Tome and Principe,STP,on-track,,96.8,5.041
Suriname,SUR,on-track,67.5,100.0,5.781
Slovakia,SVK,on-track,,98.1,-16.969
Seychelles,SYC,on-track,,99.8,0.662
Turks and Caicos Islands,TCA,on-track,93.2,100.0,0.148
South Sudan,SSD,off-track,31.1,39.7,197.957
Thailand,THA,on-track,88.3,99.6,94.556
Timor-Leste,TLS,off-track,83.1,,24.292
Tonga,TON,on-track,88.5,98.3,1.717
Tunisia,TUN,on-track,84.1,99.5,98.841
Türkiye,TUR,on-track,89.7,97.0,800.803
Tuvalu,TUV,on-track,60.3,99.5,0.15
United Republic of Tanzania,TZA,off-track,65.1,85.0,1956.292
Turkmenistan,TKM,off-track,97.6,99.7,91.138
Uruguay,URY,on-track,97.3,100.0,1.848
United States,USA,on-track,,98.6,582.21
Uzbekistan,UZB,on-track,89.5,99.0,569.214
Saint Vincent and the Grenadines,VCT,on-track,,99.0,-0.133
Venezuela (Bolivarian Republic of),VEN,on-track,,98.7,210.364
Viet Nam,VNM,on-track,88.2,96.1,771.853
Samoa,WSM,on-track,69.8,88.9,4.808
Uganda,UGA,off-track,56.7,91.0,1449.618
Zambia,ZMB,off-track,63.5,80.4,548.867
Zimbabwe,ZWE,off-track,71.5,86.0,345.195
